epoch,lr,train_loss,train_accuracy,val_loss,val_accuracy,seconds
1,0.02,1.8937172911114162,31.037777777777777,1.6071257575988769,43.8,119.58116519999749
2,0.04,1.613254458173116,45.24666666666667,1.369389089012146,54.62,93.71800200000143
3,0.06000000000000001,1.414446498468187,54.50888888888889,1.3310648792266846,59.68,91.52089089999936
4,0.08,1.2558969667222766,61.282222222222224,1.120399819469452,65.7,88.84785220000049
5,0.1,1.1693888508690728,64.85111111111111,1.3544831288337706,59.96,88.91877490000115
6,0.1,1.0810537179523043,68.44666666666667,1.1392941394805909,65.64,93.00842879999982
7,0.09999714571372523,1.0209543635898166,71.09555555555555,1.0183299045562744,71.16,92.3926320999999
8,0.0999885831808115,0.9844978156619602,72.38888888888889,0.9756359566688537,73.38,92.07957270000043
9,0.09997431337895339,0.9530530914730496,73.87333333333333,1.045845789527893,69.92,91.36032900000282
10,0.09995433793751783,0.9395989719178941,74.14444444444445,1.0639432788848877,69.5,92.48976889999904
11,0.09992865913735803,0.9309190402348836,74.64666666666666,0.9023650510787964,75.82,92.76154249999672
12,0.09989727991055307,0.9101702712164985,75.47333333333333,0.8777676157474518,76.52,91.27919029999975
13,0.0998602038400731,0.9019640544573466,75.9088888888889,0.8364194316864013,78.12,92.01346890000059
14,0.09981743515937024,0.8823501190291511,76.48222222222222,0.8383651990890503,77.9,91.6203076999991
15,0.09976897875189517,0.8731854681650798,77.06,0.9885850539684296,72.82,91.69192390000171
16,0.09971484015053952,0.8684534482955932,77.13111111111111,0.8225292013168335,79.1,94.83567510000285
17,0.09965502553700413,0.8645580880588956,77.19555555555556,0.8639073854446411,76.94,95.26379629999792
18,0.09958954174109319,0.8502575623618231,77.92888888888889,0.825038046169281,79.28,91.49258759999793
19,0.09951839623993443,0.8450660269843208,78.16444444444444,1.0004263385772705,73.36,95.4949689999994
20,0.0994415971571253,0.8399897210862901,78.35777777777778,0.8137416811943055,79.24,94.21381950000068
21,0.09935915326180544,0.8317600626839532,78.72888888888889,0.8865151299476624,76.62,91.01343929999712
22,0.09927107396765535,0.8245055842505561,78.88,0.8174912013053894,79.1,90.39318400000047
23,0.0991773693318216,0.8223978442721896,78.85777777777778,0.7902158190727234,80.48,95.62106459999995
24,0.09907805005376831,0.8163405854225159,79.54,0.8085394136428833,79.7,99.23714490000202
25,0.09897312747405569,0.809517496087816,79.45555555555555,0.8415911324977875,78.46,93.48131439999997
26,0.09886261357304489,0.8055253950754802,79.57111111111111,0.8047124061584473,80.2,92.14309599999979
27,0.09874652096953027,0.8013857106632657,79.66222222222223,0.8222417523384095,78.78,93.11451749999833
28,0.09862486291929838,0.8043276623408,79.69333333333333,0.7725798275947571,80.92,100.70409450000079
29,0.09849765331361446,0.8015782411575317,79.98222222222222,0.8141251395225525,78.92,95.26272130000143
30,0.09836490667763628,0.7964929734653897,80.10888888888888,0.8025525471687317,79.48,101.27423460000136
31,0.09822663816875564,0.7989017384741042,79.94666666666667,0.8551828768730163,77.72,97.02775349999865
32,0.09808286357486762,0.7881225209765964,80.44666666666667,0.7726054177284241,81.14,93.64833050000016
33,0.09793359931256786,0.7852073557641771,80.54444444444445,0.8012028102874755,79.8,94.01121969999804
34,0.09777886242527811,0.78912573545244,80.49555555555555,0.774178693151474,80.66,100.09000820000074
35,0.09761867058130017,0.7807616393831042,80.51555555555555,0.8075161973953247,80.0,95.57746360000237
36,0.09745304207179839,0.7802771722687615,80.55333333333333,0.8324174748420715,78.3,96.52125499999966
37,0.09728199580871123,0.7760330668343438,80.7911111111111,0.8675747568130493,77.5,93.46944600000279
38,0.0971055513225918,0.773690768316057,80.87555555555555,0.7880161006927491,80.56,95.36230670000077
39,0.09692372876037778,0.770170225652059,81.03555555555556,0.8217788381576538,79.4,90.85446589999992
40,0.09673654888309102,0.7677415076785618,81.16666666666667,0.8548003813743591,78.18,64.48543100000097
41,0.096544033063467,0.7730438589307997,81.25111111111111,0.7467960952281952,81.74,63.38941040000282
42,0.09634620328351436,0.7667239000426398,81.06444444444445,0.7667251194953918,81.04,63.14866489999986
43,0.09614308213200504,0.7687295165909661,81.12444444444445,0.7382681906700135,82.38,65.24639490000118
44,0.09593469280189487,0.7690886501842075,81.22222222222223,0.7518035044670105,81.22,74.92851670000164
45,0.09572105908767554,0.7687260174857246,81.19333333333333,0.7766654684543609,80.48,73.3558140999994
46,0.09550220538265751,0.7640460220336914,81.18888888888888,0.7380931933879852,82.24,85.76293299999816
47,0.09527815667618476,0.764758452849918,81.2911111111111,0.7407891757965088,82.16,67.56356580000283
48,0.09504893855078145,0.7675207215838962,80.94666666666667,0.8125426064491272,78.74,65.39707049999924
49,0.09481457717923084,0.7594776846355862,81.56444444444445,0.7759455206871033,81.12,65.55854279999767
